,Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media,Eto
0,2018-01-01,1.2154204971479097,0.0,29.8,20.3,92.0,40.0,75.375,916.4916666666667,23.59583333333333,5.370115939715108
1,2018-01-02,1.4086411915662949,0.0,29.8,19.4,92.0,49.0,71.58333333333333,914.3500000000003,23.9125,5.6336320882829725
2,2018-01-03,1.280866216225104,0.0,30.1,18.7,93.0,47.0,74.16666666666667,913.7458333333333,23.760416666666664,5.854841075459748
3,2018-01-04,0.9879187117843264,0.0,22.4,18.8,93.0,85.0,91.16666666666669,916.4916666666667,20.397916666666664,3.612599006548605
4,2018-01-05,0.9255894555203308,0.0,28.0,19.0,93.0,58.0,85.95833333333331,918.8625000000003,21.172916666666666,5.294477657855668
5,2018-01-06,0.8165132570583391,0.0,27.3,17.7,92.0,57.0,79.45833333333333,918.5916666666667,21.45833333333333,5.397968775567842
6,2018-01-07,1.0284327283559231,0.0,29.7,19.1,92.0,46.0,73.375,917.5166666666668,23.37291666666667,5.642022788298938
7,2018-01-08,2.053748993898646,0.0,29.0,20.2,80.0,34.0,60.70833333333334,918.9958333333329,24.227083333333336,5.049432834618429
8,2018-01-09,2.3092989445810272,0.0,29.2,19.7,73.0,39.0,55.58333333333334,920.9708333333333,23.74166666666667,5.196057819567329
9,2018-01-10,2.2282709114378343,0.0,29.4,20.3,77.0,38.0,58.20833333333334,921.7000000000003,24.422916666666666,5.130389376186713
10,2018-01-11,2.072447770777845,0.0,27.7,19.6,77.0,44.0,60.16666666666666,920.7791666666667,23.45208333333333,4.882961682323953
11,2018-01-12,1.2216534227743088,0.0,29.7,19.8,74.0,39.0,60.66666666666666,918.3666666666667,23.65000000000001,5.2951769007990865
12,2018-01-13,1.2746332905987048,0.0,30.1,19.9,77.0,34.0,59.25,917.0916666666667,24.322916666666664,5.3529735327911405
13,2018-01-14,1.168673554949912,0.0,28.5,19.4,90.0,54.0,74.70833333333333,918.4833333333332,22.78958333333334,5.268929962267919
14,2018-01-15,0.8258626454979383,0.0,29.8,18.9,89.0,47.0,72.33333333333333,918.9916666666667,23.239583333333336,5.66725217017758
15,2018-01-16,1.3712436378078976,0.0,30.7,19.1,90.0,38.0,63.41666666666666,919.7833333333334,25.02291666666667,5.785244207457131
16,2018-01-17,1.7701508778974675,0.0,30.2,19.7,77.0,35.0,56.58333333333334,919.5291666666667,25.20208333333333,5.408659271776122
17,2018-01-18,1.4179905800058945,0.0,30.7,19.5,68.0,27.0,46.125,919.7541666666666,25.08541666666667,5.416278429538323
18,2018-01-19,1.299564993104303,0.0,32.4,20.2,69.0,23.0,45.54166666666666,919.2791666666667,25.975,5.623098399515117
19,2018-01-20,1.312030844357102,0.0,32.4,21.3,61.0,19.0,39.833333333333336,918.3333333333335,26.854166666666664,5.2868590523447585
20,2018-01-21,1.5987454231714806,0.0,32.2,21.8,51.0,21.0,37.0,917.6000000000003,26.704166666666666,5.05991182336089
21,2018-01-22,1.7109380844466722,0.0,31.1,21.9,77.0,34.0,53.75,916.3791666666666,25.489583333333336,5.122798796415963
22,2018-01-23,1.5332997040942855,0.0,29.7,20.4,88.0,45.0,64.54166666666667,916.9625,24.02708333333333,5.244668263072465
23,2018-01-24,1.4179905800058945,0.0,30.6,20.8,83.0,38.0,59.95833333333334,916.7666666666668,24.63958333333333,5.29983188025708
24,2018-01-25,2.178407506426637,0.0,29.8,20.7,73.0,38.0,56.54166666666666,915.8083333333333,24.79583333333333,5.041000735579402
25,2018-01-26,1.5052515387754877,0.0,31.3,20.1,66.0,30.0,50.875,915.4208333333336,25.1625,5.390137121953083
26,2018-01-27,1.6080948116110803,0.0,30.9,21.7,71.0,33.0,53.0,915.5,25.71666666666667,5.029916685373279
27,2018-01-28,1.5862795719186813,0.0,32.3,20.5,80.0,29.0,56.625,915.3041666666667,25.67708333333333,5.644673723541925
28,2018-01-29,1.121926612751916,0.0,30.5,19.8,91.0,44.0,63.625,914.0583333333333,25.03125,5.5543256027780865
29,2018-01-30,0.8414449595639373,0.0,29.4,18.7,93.0,55.0,83.08333333333333,913.1875,22.97083333333333,5.589830040013544
30,2018-01-31,0.7136699842227467,0.0,27.9,19.7,93.0,59.0,86.54166666666669,913.2833333333333,21.922916666666666,4.97111380200264
