Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media
2018-01-01,1.2154204971479095,0.0,29.8,20.3,92.0,40.0,75.375,916.4916666666667,23.59583333333333
2018-01-02,1.4086411915662949,0.0,29.8,19.4,92.0,49.0,71.58333333333333,914.3500000000003,23.9125
2018-01-03,1.2808662162251039,0.0,30.1,18.7,93.0,47.0,74.16666666666667,913.7458333333333,23.760416666666664
2018-01-04,0.9879187117843263,0.0,22.4,18.8,93.0,85.0,91.16666666666667,916.4916666666668,20.397916666666664
2018-01-05,0.9255894555203307,0.0,28.0,19.0,93.0,58.0,85.95833333333333,918.8625000000003,21.172916666666666
2018-01-06,0.8165132570583391,0.0,27.3,17.7,92.0,57.0,79.45833333333333,918.5916666666668,21.458333333333332
2018-01-07,1.0284327283559231,0.0,29.7,19.1,92.0,46.0,73.375,917.5166666666668,23.37291666666667
2018-01-08,2.0537489938986466,0.0,29.0,20.2,80.0,34.0,60.708333333333336,918.995833333333,24.227083333333336
2018-01-09,2.3092989445810272,0.0,29.2,19.7,73.0,39.0,55.583333333333336,920.9708333333333,23.741666666666667
2018-01-10,2.2282709114378343,0.0,29.4,20.3,77.0,38.0,58.208333333333336,921.7000000000002,24.422916666666666
2018-01-11,2.0724477707778455,0.0,27.7,19.6,77.0,44.0,60.166666666666664,920.7791666666667,23.452083333333334
2018-01-12,1.2216534227743088,0.0,29.7,19.8,74.0,39.0,60.666666666666664,918.3666666666668,23.650000000000006
2018-01-13,1.2746332905987048,0.0,30.1,19.9,77.0,34.0,59.25,917.0916666666668,24.322916666666664
2018-01-14,1.168673554949912,0.0,28.5,19.4,90.0,54.0,74.70833333333333,918.4833333333332,22.78958333333334
2018-01-15,0.8258626454979383,0.0,29.8,18.9,89.0,47.0,72.33333333333333,918.9916666666667,23.239583333333336
2018-01-16,1.3712436378078976,0.0,30.7,19.1,90.0,38.0,63.416666666666664,919.7833333333334,25.022916666666667
2018-01-17,1.7701508778974677,0.0,30.2,19.7,77.0,35.0,56.583333333333336,919.5291666666667,25.202083333333334
2018-01-18,1.4179905800058943,0.0,30.7,19.5,68.0,27.0,46.125,919.7541666666666,25.085416666666667
2018-01-19,1.299564993104303,0.0,32.4,20.2,69.0,23.0,45.541666666666664,919.2791666666668,25.975
2018-01-20,1.312030844357102,0.0,32.4,21.3,61.0,19.0,39.833333333333336,918.3333333333334,26.854166666666664
2018-01-21,1.5987454231714806,0.0,32.2,21.8,51.0,21.0,37.0,917.6000000000003,26.704166666666666
2018-01-22,1.7109380844466722,0.0,31.1,21.9,77.0,34.0,53.75,916.3791666666666,25.489583333333336
2018-01-23,1.5332997040942857,0.0,29.7,20.4,88.0,45.0,64.54166666666667,916.9625000000001,24.02708333333333
2018-01-24,1.4179905800058943,0.0,30.6,20.8,83.0,38.0,59.958333333333336,916.7666666666668,24.639583333333334
2018-01-25,2.1784075064266375,0.0,29.8,20.7,73.0,38.0,56.541666666666664,915.8083333333333,24.795833333333334
2018-01-26,1.5052515387754877,0.0,31.3,20.1,66.0,30.0,50.875,915.4208333333335,25.162499999999998
2018-01-27,1.60809481161108,0.0,30.9,21.7,71.0,33.0,53.0,915.5,25.71666666666667
2018-01-28,1.5862795719186813,0.0,32.3,20.5,80.0,29.0,56.625,915.3041666666668,25.677083333333332
2018-01-29,1.121926612751916,0.0,30.5,19.8,91.0,44.0,63.625,914.0583333333333,25.031249999999996
2018-01-30,0.8414449595639373,0.0,29.4,18.7,93.0,55.0,83.08333333333333,913.1875,22.97083333333333
2018-01-31,0.7136699842227467,0.0,27.9,19.7,93.0,59.0,86.54166666666667,913.2833333333333,21.922916666666666
2018-02-01,0.9255894555203307,0.0,25.9,18.1,91.0,69.0,84.41666666666667,914.4999999999999,20.735416666666666
2018-02-02,1.121926612751916,0.0,21.6,18.3,92.0,81.0,90.20833333333333,913.7458333333334,19.922916666666666
2018-02-03,1.312030844357102,0.0,28.1,18.0,93.0,55.0,84.79166666666667,912.2916666666665,20.654166666666665
2018-02-04,1.4024082659398958,0.0,21.9,18.1,91.0,76.0,85.20833333333333,914.5208333333335,19.625
2018-02-05,0.9848022489711261,0.0,22.4,17.6,93.0,80.0,89.70833333333333,913.775,19.237499999999997
2018-02-06,1.019083339916324,0.0,27.2,18.6,93.0,59.0,85.33333333333333,913.4541666666665,21.025000000000006
2018-02-07,0.897541290201533,0.0,28.0,18.3,93.0,50.0,80.16666666666667,914.6833333333333,21.84166666666667
2018-02-08,0.8009309429923401,0.0,31.2,18.4,93.0,41.0,70.125,916.0291666666666,23.75625
2018-02-09,1.8262472085350636,0.0,31.3,20.6,83.0,40.0,66.95833333333333,917.5375,24.583333333333336
2018-02-10,1.1468583152575145,0.0,30.0,21.2,90.0,50.0,75.45833333333333,918.2875000000003,23.5
2018-02-11,1.5800466462922818,0.0,30.2,20.6,86.0,42.0,68.04166666666667,918.1833333333329,24.5
2018-02-12,1.4647375222038908,0.0,30.1,19.2,69.0,29.0,52.333333333333336,917.7499999999999,24.31041666666667
2018-02-13,1.5925124975450813,0.0,29.8,20.2,75.0,36.0,55.208333333333336,918.3291666666665,24.989583333333332
2018-02-14,1.7483356382050694,0.0,29.5,20.7,77.0,35.0,56.666666666666664,919.9958333333335,24.84166666666667
2018-02-15,1.950905721063054,0.0,28.6,18.6,78.0,42.0,57.875,921.1958333333333,23.870833333333334
2018-02-16,1.5862795719186817,0.0,28.7,19.1,90.0,40.0,64.5,921.5375000000003,23.337500000000006
